"Symbol","Name","Price","Change","Market Cap","Circulating Supply"
"BTC-USD","Bitcoin USD","20279.49","-124.56","389311000000.000","19197000.000"
"ETH-USD","Ethereum USD","1545.52","-12.15","189132000000.000","122374000.000"
"USDT-USD","Tether USD","1.0000","0.0000","69352000000.000","69351000000.000"
"BNB-USD","BNB USD","329.95","11.79","52785000000.000","159978000.000"
"USDC-USD","USD Coin USD","1.0002","0.0002","42343000000.000","42334000000.000"
"XRP-USD","XRP USD","0.455629","-0.001683","22820000000.00","50085000000.000"
"BUSD-USD","Binance USD USD","1.0005","0.0005","21670000000.00","21659000000.000"
"DOGE-USD","Dogecoin USD","0.131113","0.000429","17395000000.000","132671000000.000"
"ADA-USD","Cardano USD","0.394935","0.001368","13558000000.000","34331000000.000"
"SOL-USD","Solana USD","31.27","-0.03","11242000000.000","359466000.000"
"MATIC-USD","Polygon USD","0.957763","0.102353","8365000000.000","8734000000.000"
"DOT-USD","Polkadot USD","6.4670","0.1489","7326000000.000","1133000000.000"
"HEX-USD","HEX USD","0.039525","-0.002255","6854000000.000","173411000000.000"
"SHIB-USD","Shiba Inu USD","0.000012","0.000000","6633000000.000","549063000000000.000"
"WTRX-USD","Wrapped TRON USD","0.062133","-0.000246","6317000000.000","101676000000.000"
"DAI-USD","Dai USD","1.0002","0.0006","6113000000.000","6112000000.000"
"TRX-USD","TRON USD","0.061887","-0.000542","5709000000.000","92246000000.000"
"AVAX-USD","Avalanche USD","18.35","0.30","5484000000.000","298911000.000"
"UNI7083-USD","Uniswap USD","7.1243","0.2212","5430000000.00","762209000.000"
"STETH-USD","Lido Staked ETH USD","1589.91","9.61","5545000000.000","3488000.000"
"WBTC-USD","Wrapped Bitcoin USD","20262.57","-139.92","4974000000.000","245479"
"LEO-USD","UNUS SED LEO USD","4.7297","0.0764","4512000000.000","953954000.000"
"LTC-USD","Litecoin USD","61.41","0.62","4392000000.000","71530000.00"
"ATOM-USD","Cosmos USD","13.79","0.28","3950000000.00","286370000.00"
"LINK-USD","Chainlink USD","7.8892","0.1986","3878000000.000","491600000.0"
"ETC-USD","Ethereum Classic USD","24.22","0.60","3336000000.000","137734000.000"
"FTT-USD","FTX Token USD","24.45","-1.16","3252000000.000","133026000.000"
"CRO-USD","Cronos USD","0.111484","0.002891","2816000000.000","25263000000.000"
"XLM-USD","Stellar USD","0.109684","0.000799","2810000000.00","25622000000.000"
"XMR-USD","Monero USD","149.91","0.95","2728000000.000","18196000.000"
"ALGO-USD","Algorand USD","0.382558","0.035756","2707000000.000","7075000000.000"
"NEAR-USD","NEAR Protocol USD","3.0538","0.1328","2499000000.000","818415000.000"
"BCH-USD","Bitcoin Cash USD","116.23","-0.81","2234000000.000","19219000.000"
"BTCB-USD","Bitcoin BEP2 USD","20265.61","-104.79","2134000000.000","105290"
"TON11419-USD","Toncoin USD","1.6138","0.0557","1971000000.000","1221000000.000"
"QNT-USD","Quant USD","159.30","-1.30","1923000000.000","12073000.000"
"FIL-USD","Filecoin USD","6.0090","0.7455","1882000000.000","313157000.000"
"FLOW-USD","Flow USD","1.8080","0.2261","1873000000.000","1036000000.000"
"VET-USD","VeChain USD","0.023823","0.000542","1727000000.000","72511000000.000"
"ICP-USD","Internet Computer USD","5.4757","0.4517","1473000000.000","268967000.000"
"LUNC-USD","Terra Classic USD","0.000223","0.000006","1471000000.000","6591000000000.000"
"CHZ-USD","Chiliz USD","0.242107","0.012696","1454000000.000","6007000000.000"
"EGLD-USD","Elrond USD","59.55","1.35","1408000000.000","23644000.000"
"HBAR-USD","Hedera USD","0.060207","0.001008","1383000000.000","22968000000.000"
"HT-USD","Huobi Token USD","8.9128","0.2410","1367000000.000","153358000.000"
"APE18876-USD","ApeCoin USD","4.4128","0.0868","1354000000.000","306875000.000"
"XTZ-USD","Tezos USD","1.3860","0.0002","1268000000.000","914722000.000"
"THETA-USD","Theta Network USD","1.2539","0.1004","1254000000.000","1000000000"
"SAND-USD","The Sandbox USD","0.828427","0.008440","1242000000.000","1499000000.000"
"OKB-USD","OKB USD","20.29","4.08","1217000000.000","60000000"
"FRAX-USD","Frax USD","0.995385","0.001933","1206000000.000","1212000000.000"
